,Tijd,Aantal
0,2021-11-21 22:00:00,5
1,2021-11-21 21:00:00,23
2,2021-11-21 20:00:00,31
3,2021-11-21 19:00:00,45
4,2021-11-21 18:00:00,90
5,2021-11-21 17:00:00,36
6,2021-11-21 16:00:00,26
7,2021-11-21 15:00:00,39
8,2021-11-21 14:00:00,36
9,2021-11-21 13:00:00,22
10,2021-11-21 12:00:00,8
11,2021-11-21 11:00:00,9
12,2021-11-21 10:00:00,4
13,2021-11-21 09:00:00,2
14,2021-11-21 08:00:00,1
15,2021-11-21 06:00:00,1
16,2021-11-21 03:00:00,1
17,2021-11-21 01:00:00,16
18,2021-11-21 00:00:00,5
19,2021-11-20 23:00:00,13
20,2021-11-20 22:00:00,6
21,2021-11-20 21:00:00,27
22,2021-11-20 20:00:00,8
23,2021-11-20 19:00:00,21
24,2021-11-20 18:00:00,42
25,2021-11-20 17:00:00,12
26,2021-11-20 16:00:00,5
27,2021-11-20 15:00:00,6
28,2021-11-20 14:00:00,4
29,2021-11-20 13:00:00,7
30,2021-11-20 12:00:00,7
31,2021-11-20 11:00:00,14
32,2021-11-20 09:00:00,5
33,2021-11-20 08:00:00,7
34,2021-11-20 07:00:00,7
35,2021-11-20 06:00:00,4
36,2021-11-20 05:00:00,2
37,2021-11-20 01:00:00,2
38,2021-11-20 00:00:00,3
39,2021-11-19 23:00:00,15
40,2021-11-19 22:00:00,17
41,2021-11-19 21:00:00,16
42,2021-11-19 20:00:00,65
43,2021-11-19 19:00:00,93
44,2021-11-19 18:00:00,78
45,2021-11-19 17:00:00,69
46,2021-11-19 16:00:00,95
47,2021-11-19 15:00:00,15
48,2021-11-19 14:00:00,110
49,2021-11-19 13:00:00,16
50,2021-11-19 12:00:00,42
51,2021-11-19 11:00:00,28
52,2021-11-19 10:00:00,14
53,2021-11-19 09:00:00,24
54,2021-11-19 08:00:00,15
55,2021-11-19 07:00:00,13
56,2021-11-19 06:00:00,4
57,2021-11-19 05:00:00,2
58,2021-11-19 01:00:00,3
59,2021-11-19 00:00:00,24
60,2021-11-18 23:00:00,18
61,2021-11-18 22:00:00,63
62,2021-11-18 21:00:00,77
63,2021-11-18 20:00:00,67
64,2021-11-18 19:00:00,32
65,2021-11-18 18:00:00,51
66,2021-11-18 17:00:00,25
67,2021-11-18 16:00:00,29
68,2021-11-18 15:00:00,78
69,2021-11-18 14:00:00,30
70,2021-11-18 13:00:00,16
71,2021-11-18 12:00:00,20
72,2021-11-18 11:00:00,28
73,2021-11-18 10:00:00,29
74,2021-11-18 09:00:00,12
75,2021-11-18 08:00:00,11
76,2021-11-18 07:00:00,17
77,2021-11-18 06:00:00,14
78,2021-11-18 05:00:00,1
79,2021-11-18 04:00:00,1
80,2021-11-18 02:00:00,3
81,2021-11-18 01:00:00,1
82,2021-11-18 00:00:00,10
83,2021-11-17 23:00:00,36
84,2021-11-17 22:00:00,48
85,2021-11-17 21:00:00,43
86,2021-11-17 20:00:00,27
87,2021-11-17 19:00:00,28
88,2021-11-17 18:00:00,29
89,2021-11-17 17:00:00,25
90,2021-11-17 16:00:00,46
91,2021-11-17 15:00:00,25
92,2021-11-17 14:00:00,15
93,2021-11-17 13:00:00,19
94,2021-11-17 12:00:00,46
95,2021-11-17 11:00:00,44
96,2021-11-17 10:00:00,25
97,2021-11-17 09:00:00,32
98,2021-11-17 08:00:00,21
99,2021-11-17 07:00:00,10
100,2021-11-17 06:00:00,7
101,2021-11-17 05:00:00,1
102,2021-11-17 04:00:00,4
103,2021-11-17 01:00:00,9
104,2021-11-17 00:00:00,11
105,2021-11-16 23:00:00,14
106,2021-11-16 22:00:00,15
107,2021-11-16 21:00:00,59
108,2021-11-16 20:00:00,20
109,2021-11-16 19:00:00,6
110,2021-11-16 18:00:00,10
111,2021-11-16 17:00:00,11
112,2021-11-16 16:00:00,18
113,2021-11-16 15:00:00,19
114,2021-11-16 14:00:00,13
115,2021-11-16 13:00:00,17
116,2021-11-16 12:00:00,22
117,2021-11-16 11:00:00,38
118,2021-11-16 10:00:00,22
119,2021-11-16 09:00:00,26
120,2021-11-16 08:00:00,14
121,2021-11-16 07:00:00,22
122,2021-11-16 06:00:00,5
123,2021-11-16 05:00:00,2
124,2021-11-16 04:00:00,2
125,2021-11-16 02:00:00,3
126,2021-11-16 00:00:00,15
127,2021-11-15 23:00:00,19
128,2021-11-15 22:00:00,27
129,2021-11-15 21:00:00,22
130,2021-11-15 20:00:00,18
131,2021-11-15 19:00:00,29
132,2021-11-15 18:00:00,41
133,2021-11-15 17:00:00,60
134,2021-11-15 16:00:00,56
135,2021-11-15 15:00:00,24
136,2021-11-15 14:00:00,43
137,2021-11-15 13:00:00,48
138,2021-11-15 12:00:00,44
139,2021-11-15 11:00:00,50
140,2021-11-15 10:00:00,34
141,2021-11-15 09:00:00,35
142,2021-11-15 08:00:00,40
143,2021-11-15 07:00:00,44
144,2021-11-15 06:00:00,31
145,2021-11-15 05:00:00,5
146,2021-11-15 04:00:00,3
147,2021-11-15 03:00:00,2
148,2021-11-15 02:00:00,9
149,2021-11-15 01:00:00,3
150,2021-11-15 00:00:00,1
