screen_name,id,created_at,trucated text
ErikDeVlieger1,1460700529017905154,2021-11-16 20:05:19,b'@Sole40724842 @KAFKA_Dev #wnw https://t.co/Z3QPVc0UcF'
aapjestokje,1460700275841417220,2021-11-16 20:04:18,b'@Wil1969 @Stiefloeder1 @annagret1974 #WNW'
Joeli57,1460698463490953219,2021-11-16 19:57:06,b'@Mia_Leeuwin @M_the_Lion @UnknownSkin @Lovely__Wilma Ik ben op dag 2 al de mist in gegaan \xf0\x9f\xa4\xa3.\nHoud het dan maar op #wnw momenten. \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xa3'
MichielKlomp75,1460695878101049346,2021-11-16 19:46:50,b'RT @amadeu_wolfgang: Wat doen jullie zoal tijdens de #wnw?\nIk heb een huisje uitgezocht. Ik dacht w\xc3\xa8l: ik wil een beetje bij Poempie in de\xe2\x80\xa6'
radkohagen,1460694564210151425,2021-11-16 19:41:37,b'@thierrybaudet #wnw'
annoula0912,1460693017023729670,2021-11-16 19:35:28,b'Volgens mij heb ik me vandaag weer niet aan #WNW gehouden....\xf0\x9f\x98\x9f\n\nMorgen beter \xf0\x9f\x98\x84'
anja99059457,1460692426100719616,2021-11-16 19:33:07,b'@RGoudvis #wnw https://t.co/HQPwGcHMso'
Stilste,1460691193122197513,2021-11-16 19:28:13,b'@Lauwke3 @WeThePe55239451 @GarageRemus @DirkvanLinth @Marc_Veld @Karnemelkpak @Missymissie12 @molientjedemol\xe2\x80\xa6 https://t.co/ZsF7pLxvV1'
WimDool,1460690278386442241,2021-11-16 19:24:35,"b""RT @BroksTricky: And that's the spirit.\nDie schapen krijgen we toch niet meer wakker zijn onze aandacht niet waard en verspillen onze tijd.\xe2\x80\xa6"""
Lauwke3,1460690113948704775,2021-11-16 19:23:56,b'@Stilste @WeThePe55239451 @GarageRemus @DirkvanLinth @Marc_Veld @Karnemelkpak @Missymissie12 @molientjedemol\xe2\x80\xa6 https://t.co/HiW0ETw7Y3'
JdeVTuinieren,1460687689594941447,2021-11-16 19:14:18,"b'RT @Stilste: @vanranstmarc \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82 het Belgische hof heeft geen #wnw, maar gewoon een negeer jaar!! https://t.co/hkBM0tHvWZ'"
molientjedemol,1460681367805730818,2021-11-16 18:49:10,b'@Stilste @Missymissie12 @Karnemelkpak @WeThePe55239451 @Marc_Veld @MrFlyingheart @GarageRemus @Lauwke3 @Doc_Box\xe2\x80\xa6 https://t.co/KA3PSQ9L79'
osdenm,1460678702623346696,2021-11-16 18:38:35,b'@KAFKA_Dev Nooit \xc3\xadets begrepen van statistiek h\xc3\xa8 gast. Gaan we niet meer over in discussie #wnw'
Mia_Leeuwin,1460678588093632514,2021-11-16 18:38:08,b'@M_the_Lion @UnknownSkin @Lovely__Wilma Doe niet mee met #wnw'
M_the_Lion,1460678267732643844,2021-11-16 18:36:51,b'@UnknownSkin @Lovely__Wilma Afgemeld voor #WNW.'
spercyboon,1460677629456101378,2021-11-16 18:34:19,"b'Ik kan dat echt niet volhouden hoor, die #wnw, ga toch telkens de confrontatie weer aan'"
GaitGerritje,1460677047840292871,2021-11-16 18:32:00,b'@Ellenvandenhout @joostzaat #wnw https://t.co/qSccQE9uoI'
UnknownSkin,1460677020799672323,2021-11-16 18:31:54,b'@Lovely__Wilma #wnw'
Stilste,1460674543027204098,2021-11-16 18:22:03,b'@DirkvanLinth @Marc_Veld @Karnemelkpak @WeThePe55239451 @Missymissie12 @molientjedemol @MrFlyingheart @GarageRemus\xe2\x80\xa6 https://t.co/18mKSR8Aqp'
JantineBrx,1460671440336863236,2021-11-16 18:09:43,b'@Mia_Leeuwin @ErikDeVlieger1 @ShallWeCallMe @RobBuiters @M_the_Lion @RPadvinder @VanVidere @Build4G @Lovely__Wilma\xe2\x80\xa6 https://t.co/RescBhM9pI'
MeesterEddy,1460671027558629384,2021-11-16 18:08:05,b'#wnw https://t.co/mGOaF1V30l https://t.co/4AuIQLgSt9'
MeesterEddy,1460670810214051847,2021-11-16 18:07:13,b'@CorneliusFVD @RedRiding65 @mevrouwadvocaat @SigridKaag #wnw https://t.co/SChYpIF4eK'
HelemaalRens,1460670787573231633,2021-11-16 18:07:08,b'@SomalianLP @Humble_Analysis @hejost67 #WNW'
anja99059457,1460670674389905417,2021-11-16 18:06:41,"b'@RGoudvis Daar ben ik er 1 van, en ik ken de andere 16,5 milj ook \n#wnw https://t.co/S6Mpfz4EMg'"
endtime_living,1460666479595208714,2021-11-16 17:50:01,"b""RT @BroksTricky: And that's the spirit.\nDie schapen krijgen we toch niet meer wakker zijn onze aandacht niet waard en verspillen onze tijd.\xe2\x80\xa6"""
Ikke90224020,1460664924343046152,2021-11-16 17:43:50,"b""RT @BroksTricky: And that's the spirit.\nDie schapen krijgen we toch niet meer wakker zijn onze aandacht niet waard en verspillen onze tijd.\xe2\x80\xa6"""
RWeerdmeester,1460663712990306307,2021-11-16 17:39:01,b'@Kliermuis1 @NDikkeboom @2eKamertweets #wnw'
